中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
144.21.35.5,443,2a0b:21c0:100a:1b2:0:10a:3e32:d171,DE,Frankfurt,隧道,86 ms,124 Mbps,15974 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,63 ms,349 Mbps,44748 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,45 ms,61 Mbps,7825 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,37 ms,532 Mbps,68198 kB/s
43.131.49.250,443,43.131.49.250,DE,Frankfurt,中转,85 ms,244 Mbps,31232 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,41 ms,233 Mbps,29900 kB/s
34.82.76.253,443,35.233.242.94,US,Seattle,隧道,74 ms,283 Mbps,36249 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,26 ms,390 Mbps,49971 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,87 ms,230 Mbps,29491 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,36 ms,592 Mbps,75878 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,80 ms,45 Mbps,5820 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,73 ms,340 Mbps,43622 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,32 ms,83 Mbps,10649 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,65 ms,312 Mbps,39936 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,65 ms,320 Mbps,41062 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,104 ms,7 Mbps,967 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,105 ms,272 Mbps,34918 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,84 ms,213 Mbps,27340 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,75 ms,290 Mbps,37171 kB/s
84.235.173.139,443,163.123.193.10,DE,Frankfurt,隧道,85 ms,259 Mbps,33177 kB/s
130.162.184.173,443,130.162.184.173,GB,London,中转,193 ms,41 Mbps,5360 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,85 ms,49 Mbps,6298 kB/s
150.136.61.148,443,2603:c020:4009:349a:e5b2:21c2:5db7:b3d3,US,Ashburn,隧道,96 ms,77 Mbps,9908 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,63 ms,47 Mbps,6074 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,90 ms,251 Mbps,32153 kB/s
35.230.79.26,443,34.168.81.122,US,Seattle,隧道,88 ms,300 Mbps,38400 kB/s
158.101.175.51,443,158.101.175.51,DE,Frankfurt,中转,85 ms,45 Mbps,5865 kB/s
192.18.141.27,443,192.18.141.27,US,San Jose,中转,104 ms,48 Mbps,6205 kB/s
129.159.130.38,443,129.159.130.38,IL,Tel Aviv,中转,124 ms,43 Mbps,5536 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,73 ms,284 Mbps,36454 kB/s
129.153.126.67,443,2a09:bac5:60eb:183c::26a:a9,US,Los Angeles,隧道,73 ms,38 Mbps,4938 kB/s
47.90.141.204,443,91.149.239.64,US,Los Angeles,隧道,57 ms,23 Mbps,2983 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,123 ms,229 Mbps,29388 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,157 ms,239 Mbps,30617 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,165 ms,101 Mbps,13004 kB/s
35.197.23.75,443,34.168.81.122,US,Seattle,隧道,74 ms,285 Mbps,36556 kB/s
138.2.229.77,443,138.2.229.77,US,San Jose,中转,99 ms,46 Mbps,5935 kB/s
143.47.242.195,443,143.47.242.195,GB,London,中转,76 ms,44 Mbps,5755 kB/s
130.61.170.78,443,130.61.170.78,DE,Frankfurt,中转,85 ms,92 Mbps,11878 kB/s
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,82 ms,242 Mbps,31027 kB/s
144.22.252.124,443,144.22.252.124,BR,S
